"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Larp1",-0.0115598219906969,7.73306366136198,-0.0861994478221813,0.932843525841926,0.967152521178737,-6.59858761038011,"Non-Significant"
"Hace1",0.00709008571730951,7.72896804020088,0.0813919048248991,0.936579727989707,0.969150120385021,-6.59931449759588,"Non-Significant"
"Sgsm2",-0.00776506323725457,7.7608249039754,-0.0830226737123469,0.93531218591847,0.968961715237781,-6.59941959011362,"Non-Significant"
"Akt1",0.021411420071237,8.40686583268935,0.265480676805181,0.795506373311283,0.879952939994885,-6.59950834212301,"Non-Significant"
"Cep170b",-0.0467017618482615,9.5714066895974,-0.351635338329877,0.731697769241052,0.839476546213967,-6.59962077214171,"Non-Significant"
"Rnf145",-0.0117645297528339,7.89146439698688,-0.103709634801759,0.919250359636731,0.959747548969655,-6.59993249867114,"Non-Significant"
"Luzp1",-0.0175043280481946,7.88012723574558,-0.154486663972954,0.879999910703226,0.938526388237053,-6.60007119564004,"Non-Significant"
"Pcbp4",-0.00333365160873011,7.81757771603412,-0.0289723341860706,0.977401140640113,0.989803049453903,-6.60019373778725,"Non-Significant"
"Stk11",0.00790937939287772,7.79145717640458,0.0802204572639184,0.937490368312314,0.969717731301806,-6.60103824327183,"Non-Significant"
"Hnrnpul1",-0.0174505876250315,8.23501792607828,-0.234384948050226,0.818954451331448,0.896997963462421,-6.6012064951409,"Non-Significant"
"Vamp2",-0.00773111057304998,7.91356342331837,-0.0642647997771439,0.949902427964068,0.974277557291372,-6.60123721501117,"Non-Significant"
"Tnks1bp1",-0.00208629061700183,7.72238264568964,-0.025415534262119,0.98017480176684,0.990905292235409,-6.60271880208194,"Non-Significant"
"Ttpal",0.0130051174240329,8.00006623169126,0.154961270188577,0.879634448944829,0.938510380188945,-6.6029336404996,"Non-Significant"
"Apoe",0.0336057704106185,11.1816705310833,0.217857906385778,0.831494052090079,0.905104811637289,-6.60296460729264,"Non-Significant"
"Psd2",-0.0095550380862699,7.83125720198207,-0.114460799008959,0.910917247800972,0.955501715884527,-6.6034741815746,"Non-Significant"
"Pi4ka",0.0316083123025273,9.90668317779364,0.329535364483579,0.747887395761577,0.851186759817043,-6.60378326058546,"Non-Significant"
"Sugp2",-0.00400835918267006,7.79980044817202,-0.0503194767079122,0.960762110891222,0.979414135122456,-6.60392374893564,"Non-Significant"
"Odc1",-0.0122854309302465,7.8930841309018,-0.10935568394585,0.914872839629998,0.957791033826871,-6.60466747865621,"Non-Significant"
"BC005537",-0.0349467558110632,8.37222756610849,-0.237515979438532,0.816584655662359,0.895501108871334,-6.60500864105057,"Non-Significant"
"Ankrd40",-0.00727070310909461,7.8791813620516,-0.0888105132221438,0.930815026149809,0.966921117156396,-6.60519625538208,"Non-Significant"
"Prmt8",-0.00527953542974213,7.93059520334855,-0.0707396868118008,0.944863684463062,0.973062537192654,-6.60733856293181,"Non-Significant"
"Brsk1",0.0262056799657735,8.83566431284051,0.320878960784661,0.754263994974821,0.854811247796264,-6.60735140710095,"Non-Significant"
"Plxnd1",0.0216171401682423,8.02224591311129,0.129790761725551,0.899054708843014,0.950520533076033,-6.60759811759132,"Non-Significant"
"Robo2",0.0220993061739883,8.4596801778458,0.258161808801631,0.801007291996833,0.88348333112336,-6.6078759869113,"Non-Significant"
"G3bp2",0.0226493038984898,9.26634079965941,0.325273734925121,0.751024233432351,0.853111038736425,-6.60825550138211,"Non-Significant"
"Cabp1",-0.0259269428142623,8.17408378274432,-0.16754557983754,0.869955067176197,0.931895867959143,-6.60836842659302,"Non-Significant"
"Ptdss1",0.0106782815392723,8.00450822734444,0.110538452242357,0.91395617817663,0.957205571043025,-6.60853000221034,"Non-Significant"
"Vps33a",-0.0040903526831233,7.92908773964571,-0.0567650219063672,0.955741580716288,0.976874311588096,-6.60859180400001,"Non-Significant"
"Cldn11",0.0374644840927356,8.1555935861923,0.178278744198332,0.861716969746248,0.926406280602349,-6.6090011498277,"Non-Significant"
"Ppp1r12c",0.0351898981342469,8.5331618869273,0.277634146556176,0.786397419844655,0.874762745783726,-6.60975547770008,"Non-Significant"
"Neurl1a",0.00755563171816931,7.97692179892709,0.0679854355929038,0.947006742999084,0.973062537192654,-6.61159690294496,"Non-Significant"
"Tnpo2",-0.0238028492648557,9.04932603157674,-0.315574894620078,0.758180644215968,0.858523367953642,-6.61185506829413,"Non-Significant"
"Ipo8",0.0053155497980919,7.91551364483127,0.0619542071236568,0.951701091465329,0.974466936898105,-6.61203641816086,"Non-Significant"
"Znfx1",-0.0141448054558868,7.99181031788645,-0.111314256166834,0.913354990406796,0.956950181654695,-6.61265805073997,"Non-Significant"
"Spire1",0.0351012699513777,8.74829015197144,0.298134694932098,0.771108319672091,0.865114403050633,-6.61317622815767,"Non-Significant"
"Plxna1",-0.0127821420553307,7.97553323317486,-0.0816985006078954,0.936341407247985,0.969150120385021,-6.61361983477023,"Non-Significant"
"Atp6v1c1",-0.0388542440669699,9.51909343562904,-0.31071620139321,0.761774643453545,0.860269830267629,-6.61404543815049,"Non-Significant"
"Alkbh5",-0.00625003715508932,8.03374368097968,-0.0707195824084147,0.944879325894913,0.973062537192654,-6.61406884833534,"Non-Significant"
"Neo1",-0.00608803634937516,8.00382185443193,-0.0632522539078602,0.950690601485274,0.974466936898105,-6.61415100939532,"Non-Significant"
"Camk2n1",-0.00528352865281789,11.5561174286665,-0.0469250207486486,0.963406830579486,0.981736488695534,-6.61415614277582,"Non-Significant"
"Ckap5",0.03070010330452,9.20606397482269,0.307043833570413,0.764495010396945,0.862028479091797,-6.61430010860103,"Non-Significant"
"Agtpbp1",0.0251600221594632,9.73574283537602,0.302982193803923,0.76750759934357,0.863244582546023,-6.6144916739982,"Non-Significant"
"Abca2",-0.0307900673074979,9.32676810181279,-0.306310207616717,0.76503885460866,0.86227864168434,-6.61512835562538,"Non-Significant"
"Adarb1",-0.0266809104244441,9.3836361505319,-0.304261368065806,0.766558378589751,0.862539217589645,-6.61589668830138,"Non-Significant"
"Nudcd3",-0.00976889772072198,8.20236987172795,-0.118193223028749,0.90802684282883,0.953980339386272,-6.61607809871604,"Non-Significant"
"Psat1",0.00322474173934317,8.02882813242167,0.0308365686698493,0.975947496677341,0.989803049453903,-6.61626891010367,"Non-Significant"
"Mtmr4",-0.0192208492912993,8.43070261376472,-0.23604987580107,0.817694074669897,0.895983932882972,-6.61638537534303,"Non-Significant"
"Kif1a",-0.00830933400379053,11.3247443866574,-0.0779817005940105,0.939230953770675,0.970467990405497,-6.61734463840526,"Non-Significant"
"Dpy19l1",0.0128976595885337,8.26164530244328,0.159518271831584,0.876126914581466,0.936260126595837,-6.61753952559669,"Non-Significant"
"Gad2",0.0250705756602603,8.37383324012043,0.201752171788154,0.843761263116372,0.913705079913322,-6.61774885917311,"Non-Significant"
"Phlpp1",0.000883625184087578,8.01779073184473,0.00622466879975103,0.995143957805143,0.998916621180764,-6.61775551741644,"Non-Significant"
