"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Pex19",0.252683194214373,7.40834069825887,2.19034862513717,0.0507307619839442,0.19584015989639,-4.18785557594442,"Non-Significant"
"Ehbp1",-0.192653627529447,7.23303789926124,-2.18448236093084,0.0512541426323128,0.196645550099332,-4.19005458697952,"Non-Significant"
"Fam135a",-0.246387273588874,6.74929964652337,-2.1570626962445,0.053769353464418,0.201702988207765,-4.19183628589467,"Non-Significant"
"Phf3",-0.222375409200376,7.66301722339811,-2.19876442821103,0.0499887982227751,0.19584015989639,-4.19850071341993,"Non-Significant"
"Sipa1l2",-0.244060344817857,7.82316765490604,-2.19966239291036,0.049910244316021,0.19584015989639,-4.20017190697165,"Non-Significant"
"Otud7a",-0.192995566259016,7.82881492651087,-2.19614008280513,0.0502190519482783,0.19584015989639,-4.20732952283254,"Non-Significant"
"C1qtnf4",0.33424918830752,9.00417262889838,2.22953653547424,0.0473629901089176,0.190019272914651,-4.20819355229911,"Non-Significant"
"LOC108169010",-1.28614680489185,7.12110858757917,-2.14618724051005,0.0547990743298308,0.203539418939372,-4.21238621221549,"Non-Significant"
"Arid2",-0.318206185566249,7.12524351755323,-2.1620476791554,0.0533035237212573,0.200769109037309,-4.21403114599568,"Non-Significant"
"Kctd3",-0.155049806787911,8.37634438993276,-2.2064577574007,0.0493195904862165,0.19539307843608,-4.22097010134158,"Non-Significant"
"Dstyk",-0.185814628847991,7.91501715845,-2.18846830067075,0.0508979653800924,0.19584015989639,-4.22276483414383,"Non-Significant"
"Chrm1",0.188117706507528,8.34989522461344,2.20097067514034,0.0497960064671204,0.19584015989639,-4.22354501695823,"Non-Significant"
"Gdpd5",0.205034351574768,6.65327646039309,2.10816396842781,0.0585480371581869,0.211594660606781,-4.22691444775408,"Non-Significant"
"Fam19a5",0.219405816489766,7.73695327269268,2.18000065620053,0.0516574542583113,0.197129786417956,-4.22841118299451,"Non-Significant"
"Rragd",0.167091969445627,8.56895072977414,2.20642380889911,0.0493225246537677,0.19539307843608,-4.23040615138361,"Non-Significant"
"Hdgf",0.251609633967775,6.85645312168951,2.1231523741312,0.0570421441535914,0.208972451495647,-4.23267990478119,"Non-Significant"
"Ttc9b",0.259609669778511,7.33559009267091,2.15541459143264,0.0539242116321391,0.201970683567648,-4.23882030993152,"Non-Significant"
"Gpr26",-0.224035634031051,9.8073077522825,-2.21482514655665,0.0486014550684565,0.194183557327131,-4.23940943045187,"Non-Significant"
"Jun",0.266269078455468,6.74093366497382,2.09944807212763,0.0594409179610062,0.213638853306901,-4.24607754126216,"Non-Significant"
"Ywhah",0.254266844361949,10.264528293942,2.19967920864342,0.0499087743997061,0.19584015989639,-4.25558788073137,"Non-Significant"
"Rasgef1a",0.160904902193353,9.63515982923945,2.20055034306301,0.0498326822186194,0.19584015989639,-4.26021141879682,"Non-Significant"
"Gabbr1",0.167986624524238,10.7157802891403,2.19210137160008,0.0505753744231281,0.19584015989639,-4.26084959222798,"Non-Significant"
"Ptpn1",-0.18022446513501,7.1709161757432,-2.12627670620155,0.0567328889965103,0.208348845627147,-4.27322791174044,"Non-Significant"
"Ap1b1",0.208283063555301,8.65899169491489,2.18105214487577,0.0515625597825481,0.197129786417956,-4.27394834917067,"Non-Significant"
"Snap91",0.226299598826834,9.17060339815079,2.18921811221528,0.0508312273427993,0.19584015989639,-4.27558169270123,"Non-Significant"
"Megf9",0.216101318279248,8.22895919414405,2.1648609708085,0.0530423258351444,0.200372722316123,-4.28058026937809,"Non-Significant"
