"","SAL_WT","SAL_KO","RO_WT","RO_KO","RO_RAP_WT","RO_RAP_KO"
"Mobp",7592.81176619062,5571.47817069265,12026.1118202245,6306.62808125963,6591.10461054276,3195.4938773023
"Mtch1",7583.13001469376,4656.15869765243,5851.93296472212,5447.42392457396,6928.78315231188,3438.49280100807
"Spred1",7579.90997386628,4751.37314276114,9511.9281038697,6386.63494605223,9626.06530214174,3247.33471320628
"Cnp",7573.15005598493,6010.406227899,7710.29405523938,5036.95392259457,7804.87907029082,4254.80131030647
"Trip12",7570.95865566543,6176.89352652214,8687.32448957139,7538.03808719781,8623.49735129246,3664.71231873384
"Mink1",7561.31606264855,5711.53030683695,6564.85027251296,4984.77553251244,9299.91550386867,3831.71437819695
"Mrfap1",7557.17084393679,5697.81522701036,7567.31144580202,6362.28503068057,6874.6648978052,3454.5609514354
"Saraf",7515.33410141935,5596.34524096231,7699.31867208869,5854.41536721454,8203.47200405289,3636.83227010673
"Rnf187",7465.86552655599,5108.42906343849,5704.68570704042,5903.11519795786,7427.72730512675,3725.07227389834
"Ttll7",7461.28605579806,5154.09630934965,7272.68106914002,6995.3828303437,7047.89668578304,3355.08887837113
"Arhgef9",7442.96561670236,6452.87589665411,6412.88785569274,7176.26791596173,7316.75942925049,4490.19927495545
"Add1",7440.66246720422,5720.63569685528,7128.20492377421,6101.39308026994,8196.40133966718,4105.99092314161
"Fasn",7420.60605397112,5731.00021410824,7250.89321821465,5075.21807532146,8332.83737187399,3969.07282399275
"Rpl5",7386.60386480543,4403.95732636768,8539.45164612964,5078.69663466027,6656.43971442517,2173.46418960691
"Rhob",7383.40913836163,5122.25760035858,6214.26168706961,4734.31926011824,7727.36216913327,3849.9181715929
"Pcdh10",7278.33494036578,4182.71952946175,7801.43777591388,4991.73265119006,7812.9772302409,3191.01397149762
"Pgam1",7265.66848878672,4892.47657471158,6279.73703709431,5948.33646936237,7217.02941169983,3449.31671447726
"Rab15",7265.58459491917,5554.7720102196,6883.91736061471,5590.0448574651,8276.31083725114,4252.84334009626
"Mapk8ip1",7262.29113334324,4455.86577968095,7099.60247723621,3763.80120459069,7646.72351726463,2992.78320701848
"Tusc3",7211.22404733935,5651.28940377312,6877.53421180799,5520.47367068893,6917.92721949215,3413.61769444517
"Pde10a",7194.36209314905,6405.64413030907,7780.35333939896,8407.67792189991,9425.41171755885,4322.48323405242
"Ttyh1",7188.55208583039,5167.11719997849,6153.2742715055,5826.58689250407,6802.43087962656,3737.03557704197
"Atp6v1c1",7176.88191625982,5790.40592130665,7057.50908516499,6052.69324952662,7401.50717286965,3474.74258310306
"Ap2b1",7147.52640231702,6024.49532139634,6427.94216344335,7287.5818148036,7826.06327140245,4199.21534820417
"Large1",7133.13422287743,4667.78882778081,7076.7910999217,4389.9418855762,8312.46864218107,3532.564443536
"Tmem132a",7112.16867211376,6235.47136764728,6111.35191792181,6090.95740225351,7606.7694709072,3922.5437274406
"Wdr13",7092.5118706738,5504.91210452001,7022.42209047394,4755.19061615109,7363.44674859395,3845.33988513917
"Cep170b",7088.74717811098,5138.75234152828,7544.44454183271,4591.69832722709,7926.68540135227,3435.37021231033
"Lzts3",7057.32803715989,5093.40143986392,6833.88675750696,5110.00366870954,8349.79108993403,3848.75763958166
"Reep5",7049.89596014668,5150.09122603253,5529.23636268986,6640.56977778524,6502.79515656974,3980.65415842677
"Cdc42bpa",7045.41747131838,5581.02870293644,8144.04457899379,5009.1254478841,7138.93073425768,3539.20488842575
"Rundc3a",7038.32912298381,5322.48500679409,5555.24258437078,4588.21976788828,6939.05558303783,3419.4840852682
"Stk25",7033.4223909088,5403.65707149654,6803.34559654303,5412.63833118587,7146.56852886563,3205.75190027113
"Trim2",7021.11821824894,6250.77533144977,6834.09867390694,7583.25935860232,7448.75354710257,4371.4022644262
"Fez1",7003.32201463634,5560.11544827826,7496.64660087289,5753.5371463891,7180.62438407018,3208.62712627394
"Golga7b",7002.81695141665,6144.90430304865,6287.77216479798,5729.18723101744,6489.69117759806,3762.93200815853
"Slc39a10",6981.02172265078,5494.94537910485,7393.79987728585,6706.6624052226,8231.69271385745,3588.57472030679
"Usp31",6971.71227193412,4870.90639204036,9003.04643536157,6042.25757151019,8472.09635829719,3200.07537263561
"Tubb3",6971.65641819864,5748.16493682876,5809.76316635071,6741.44799861068,7413.70786271236,3683.65176425447
"Qk",6970.78159565442,5880.24817895649,6932.13482937344,5603.95909482034,6794.83301325276,3829.07385676224
"Cadm4",6966.99589205444,4931.87855288633,6452.82265404339,5927.46511332952,6024.73618147873,3161.72456100801
"Pnmal2",6942.24421237014,5906.98273592732,5869.28472877838,5276.97451697235,7534.24032432406,3762.22827166667
"Cfl1",6918.65202151274,4350.08675917222,5741.26191374341,4807.36900623321,6328.40926413601,3193.39335954102
"Rpl13a",6915.15128685222,3517.04302597482,8128.10046580492,6125.7429956416,5766.02526944894,1836.7280745408
"Mgat3",6915.13118369018,5538.19118075912,6513.21884100858,4925.6400237527,6267.69465930321,3786.383637611
"Ppp2r1a",6904.27613818499,5106.63535957269,5320.62945452836,5454.38104325157,7497.49104227175,3861.3313136361
"Brinp1",6898.3179649922,4074.85890070927,6449.73997735502,4737.79781945704,6823.34902653425,3061.09836925338
"Lingo1",6874.79241981797,4067.84176529473,7076.86294186235,3735.97272988022,7482.28062124475,3027.39257879318
"Grik5",6852.12853088687,4355.01957962218,6209.72393988786,3308.10993120679,6172.55223732516,3050.00699290354
"Ap2a2",6845.51550216308,4828.16053309166,5898.19066996833,5134.3535840812,7881.8440130528,3505.00948641465
"Scn1b",6837.01419782904,5122.87896823462,4912.89744880558,4202.09968128055,6546.85410905096,3660.77908096779
"Nf1",6822.14449371636,5437.68058177226,7720.28115671253,5057.82527862742,7608.69317986206,3456.35856907359
"Zyg11b",6809.46597639818,4785.4168718159,7599.46432405293,7416.28851033951,7311.73394589051,3446.10033101361
"Aff4",6781.59711979864,4872.31497676854,7407.10751097779,6518.82020092695,7547.04585587878,3194.59171850177
"Phyhip",6766.66322181945,5262.90348907465,4853.24303096996,4883.897311687,7134.21313464505,3762.04853606644
"Sphkap",6731.88422721608,4978.90955678587,6097.2887962478,4365.59197020454,7256.46647797342,3184.09943415058
"Snn",6730.09112102565,5543.26540660853,5380.37572442131,6024.86477481615,5498.47712235064,3983.2442539928
"Tspan5",6722.29128265593,5958.57329220851,5118.20474049307,4696.05510739134,7778.59024719776,4960.53215130793
"Bsg",6721.80724679377,4471.31791680455,5335.44180288736,4216.01391863578,6691.21822404286,3127.94063782598
"Wdr7",6708.57190642146,5442.91567342638,6267.15025227872,5941.37935068475,7218.72373262219,3388.38046478035
"Kcnab2",6687.12897069508,5272.64141342132,5668.3671698199,5666.57316291889,7201.93033060961,4218.36441673231
"Peg3",6683.80629218412,5713.29139939218,7338.6794726097,8209.40003958783,7906.18648171081,3557.01884617197
"Adgrl3",6657.62680262921,5055.1569974613,7124.90886731695,4574.30553053305,6990.94848688866,3265.89478321224
"Gde1",6649.00873998792,5145.63109606466,5437.50139083039,4243.84239334625,6825.03134391632,3468.51188762651
"Icam5",6641.56120692584,5511.1083836271,4958.25518014253,5228.27468622903,7174.72987908163,3762.66253392854
"Celsr2",6637.19164745447,5630.54802449167,6259.28960032235,5200.44621151856,7000.34355862372,4134.64956347227
"Pdzd4",6620.42651281946,4488.36761891625,5717.91900012348,3228.1030664142,7206.65402082921,3235.04752834656
"Ncs1",6600.83059527897,5337.57772337473,4983.64380389407,4588.21976788828,7397.85711849682,4437.59817304744
"Hnrnpk",6581.39883147597,5833.53357799071,6052.75181429966,6271.84248787155,6837.89723552825,3633.31782178469
"Actr1b",6570.93953634531,5460.66237877426,5467.70919680208,4831.71892160487,6653.34388883986,3762.03498782889
"Rpsa",6557.44444741907,3645.68308289153,7102.35147356324,4727.36214144062,5932.65336172933,2384.97394084946
"Cdkl5",6555.41139501834,5270.29574758901,7115.94867636102,7638.91630802325,6105.61301830263,3484.89453532108
"Lamp1",6531.64006288207,4856.15756858801,5222.09863688291,4108.17857913272,6704.84070578284,3416.81557415218
"Uhmk1",6523.54095078829,5810.83530870961,5933.75719985123,8251.14275165353,6420.65376610818,4087.50887327032
"Oaz1",6500.78827071922,3485.61171338636,7218.8532383308,5082.17519399908,5742.23087898452,2175.53858579222
"Adarb1",6481.97275365724,5352.84713978281,6430.21923062493,4998.68976986767,6768.54965901435,3610.3199270965
"Wsb2",6477.52234073042,5377.81848662366,5139.29255899361,3962.07908690277,6552.64458248066,3823.41209164338
"Hipk3",6436.77642377628,5530.76234783202,7194.58450703048,6230.09977580585,6547.99454438756,3349.5448868802
"Rap1gds1",6424.76350650169,5173.13849798746,5898.85802424353,7051.03977976463,6714.21176187697,3789.90327997002
"Bap1",6421.46613926041,3566.35910115866,6549.88539998543,2967.21111600357,7332.42442965548,2542.96211697851
"Nisch",6417.61372535611,4581.73001156599,6150.44247198513,4803.8904468944,7434.79149463602,3285.80028174705
"Stum",6407.9266310838,4701.08768762459,4986.33748723002,4765.62629416751,6447.45019572463,4001.56815858638
"Ddx6",6404.86481734797,4720.24115715467,7080.08341821931,6157.05002969087,5954.73617369431,2880.11660400176
"Sbf1",6402.64961144505,4960.99033782221,6918.49282492377,3266.36721914109,8132.93075391059,3285.42803587319
"Clu",6390.01138338303,3736.97234733832,4252.28378193567,2737.62619964221,6791.55380566985,3093.96217425267
"Mkl2",6359.64534027727,5254.187732001,6360.5105241031,6741.44799861068,7111.28754444184,3818.64730242464
"Nudt3",6325.21677986796,4402.4803220405,5048.49552449461,4647.35527664803,6402.26823879447,3731.82472686315
"Abhd8",6319.25331997537,4499.62306635567,5468.61567118669,3589.87323765027,7210.96917028695,3230.84593187913
"Dpp8",6311.117319716,4273.22480015173,6490.14591422792,3781.19400128473,6829.52303215947,3040.76340125021
"Scamp5",6305.78238061293,4808.39107755762,4941.96269986746,5332.63146639328,6080.62859420833,3779.54951572606
"Calr",6305.4597111329,5266.26120910057,6659.53324627351,4824.76180292725,10455.6418257318,3902.69557950088
"Wnk1",6272.95401464845,4404.69111204588,8193.87497471542,3889.02934078779,6560.52563476037,2731.82371799412
"Pcdh9",6255.11960853291,3687.79928419892,6704.65476211959,4932.59714243031,6160.87181942152,2623.31217645087
"Prpf8",6242.28994295738,4845.31236838524,6096.66192431213,4337.76349549408,6820.05067464591,3013.86104507741
"Timp2",6239.86686260649,4562.71070664701,4212.39341135634,4532.56281846735,6828.51615263511,3712.92169189152
"Ralgapa1",6219.73230220812,5044.07879244761,6282.20209274456,4598.65544590471,7297.61809467343,3029.87872432834
"Dctn2",6212.2603635362,4950.54199297387,5352.75503859004,5186.53197416333,5509.85251085776,2970.46404534762
"Eif4g1",6187.32368080055,5287.18265216973,6124.49534252951,5249.14604226188,7716.24437471658,3599.28872164809
"Tanc2",6168.11490463907,4562.66992356994,7560.13261782657,6247.49257249989,6480.85902598969,3254.68635254893
"Ulk2",6165.22745607339,3691.13055661269,6909.99416295681,3193.31747302611,6454.46491042014,2305.71469569987
"Abca2",6164.26200431793,5478.08678851059,6213.39488045477,3979.47188359681,6571.90099472388,3518.33197182392
"Fry",6154.41205070953,5252.89442686204,6426.49831967741,5155.22494011405,6816.03683638972,3211.68491815526
"Scn4b",6145.2592505868,5507.60991874564,5391.04399186795,6177.92138572372,6073.66315475963,3670.82614993734
"Pgrmc1",6140.82115077791,4858.15809040123,4803.00093668705,5983.12206275045,5869.28768853619,3299.47155204999
"Strn4",6114.94095401918,4542.75834513539,4956.13735383796,4400.37756359263,6549.43705410211,3267.00855988886
"Ttr",6099.21214491254,982.440994895145,68.3913595125209,107.83533950306,85.2541000150129,26.8495761680668
"Bmpr2",6098.832646621,4206.55895642863,6202.25867555175,5711.7944343234,5848.56428254964,2869.67961212334
"Rpl13",6085.38511221922,3767.23565536687,6082.460801307,4129.04993516557,5300.95566689579,2150.55202301452
"Sfxn5",6060.43773572277,5181.35528704977,5370.32282266018,4532.56281846735,5907.26462095354,3402.94033070392
"Nlgn2",6057.03792313726,4678.84980487699,5076.07813438734,4247.32095268506,6233.46403244222,3641.77144305898
"Ctbp1",6046.07128186978,4507.99984206725,4799.46241549893,3419.42383004866,6297.98745281394,3261.99578977808
"Ntrk3",6044.30983197665,5294.32162694183,7820.91455311681,7931.11529248316,6166.81954486169,3363.34666321813
"Ubr3",6023.01528235251,5064.59000995278,6049.06528263256,4939.55426110793,4977.97036250597,2553.68975474374
"Slc8a1",6021.5261740903,5358.29311420423,6196.88489957318,6257.92825051632,5615.85558005733,3224.49066369367
"X2010300C02Rik",6018.75954172797,3394.89292163698,5104.84654332246,3774.23688260712,6828.43222917622,2637.90941246761
"Syngap1",6011.70187206765,4211.04172062691,5862.75604061167,3958.60052756396,6646.51943219673,3075.21324043846
"Abhd12",5992.54740185715,3716.63108131407,5040.3094971019,4125.57137582676,5936.12908595058,2947.44905751099
"Atxn7l3b",5991.32406798483,5146.81931978175,5284.76481516284,6111.82875828636,5696.07586666195,3533.4071410721
"Amfr",5989.57781213958,4429.88664662262,5161.75202120639,4059.47874838941,6189.3839160175,3068.11857110185
"Plppr4",5987.92948764451,5300.76870921985,4993.22030650805,6351.84935266414,6559.62526801656,3782.39199226355
"Tbc1d9b",5983.14071784325,4301.71736431151,5672.92388636097,3141.13908294399,6263.59548768242,2759.8973636975
"Adap1",5972.40822872388,4550.08217447882,5127.69462862178,4257.75663070148,6088.08365936249,3350.91929451303
"Ldha",5946.51168538939,4342.45086585977,5134.25023469134,4692.57654805253,6229.9598177458,2774.35116329755
"Rpl9",5946.44364427616,2412.59233867398,6948.14471476636,6247.49257249989,4922.02379272105,1145.8490929986
"Tmbim6",5939.09488119042,4066.11389822338,4963.11940434587,4097.7429011163,5909.85909947793,3019.7888539233
"Tagln3",5938.29201801669,4400.6498736864,5690.36643683709,5113.48222804835,5204.59843865386,2446.65828522465
"Pgbd5",5932.72858021961,4514.03321563306,5025.34953001467,4949.98993912436,6790.01978259167,3233.08250461701
"Copg1",5930.78641896594,4978.9990496067,5209.47607764296,5089.13231267669,6196.31375563564,3379.50932052532
"Cd81",5920.28430259495,4323.26791592287,4399.31687336267,3450.73086409793,6120.36525625486,3233.64024445261
"Pja1",5901.65222269141,5020.12843627165,5691.14291212827,4675.18375135849,7278.07279082628,3093.34780729267
"Snap91",5901.26280284807,4401.4476875366,4824.56523879401,5190.01053350214,6389.2485502925,3137.96138645118
"Eif4a1",5897.87959638544,4777.93809909375,5766.72976693875,4480.38442838522,5820.14158554551,2701.85499398764
"Rps3a1",5874.52178803312,2590.32584875346,6099.95261887239,4748.23349747347,4825.08408796939,1398.86508826947
"Extl3",5869.65614825808,4649.62193947327,5958.39092217556,4233.40671532983,6636.34132080562,3520.08098841779
"Amph",5862.14877225328,4966.84687498227,5376.83642942283,5082.17519399908,6429.68693736392,3120.01657757744
"Kcnq3",5857.85704296999,4654.14012477665,6169.22025474372,7781.5372409144,5555.93558762607,3428.49936839357
"Epn1",5850.48235339205,4008.10067987984,4265.53468527761,3269.8457784799,6372.7250078566,3178.77625408825
"Celf4",5845.33874031938,4231.56892778542,6034.81153449911,5857.89392655335,6226.61538736103,2953.83180945289
"Ndufs2",5844.32509874343,4576.22472107753,5531.42734670672,4619.52680193756,5867.95337370839,2804.65302443358
"G3bp2",5833.03317037906,4583.32409873698,5869.73068438576,6007.47197812211,6412.35696958681,3413.54192191984
"Pex5l",5829.08110626458,4672.65282790447,5367.2900758962,5033.47536325576,5791.47416266544,3453.98560531863
"Rab3a",5827.64821939268,3822.62294459189,4179.50048118936,4080.35010442226,5488.07745869937,3103.68324290766
"Pygb",5777.66656963727,5030.90315369795,5386.81116847882,4146.44273185962,6386.57605688209,3245.08672772892
"Plcl2",5769.80628395831,4767.4645442268,6510.09282535099,4789.97620953917,7051.86618460445,3261.61616291547
"Atp6v1h",5768.68530419482,4924.30135262989,5546.81345177867,4873.46163367057,5746.41657184093,2744.64428558895
"Jph4",5766.77660469302,4382.87824052559,4236.49470337732,3280.28145649632,5675.53243765736,3380.21554989978
"Plekhb2",5759.99834253012,4328.69703253434,5079.1614433652,4922.16146441389,5997.6258419416,3254.42977590513
"Clcn3",5744.39963644657,5096.1448379608,5688.2579266587,5419.59544986349,5619.44045674293,3355.98530714696
"Itfg1",5742.41239854923,4526.95554963844,5185.49589973887,5144.78926209763,5544.30695988529,3184.62507549628
"Dmtn",5741.82379201979,4207.12123145342,4646.38555845271,4323.84925813884,6871.03189109909,3413.64420632045
"Ptk2b",5724.21995678164,4284.00779073725,4374.08132056458,4685.61942937492,6241.43541359055,3196.90685431715
"Pde1a",5712.35899793673,4989.88182911228,6231.60675685186,6842.32621943613,5849.48697983909,3198.64705639284
"Arnt2",5703.19736136181,4662.7579862936,5368.29597070519,4796.93332821679,5747.90209867186,3487.76892239074
"Cox4i1",5685.66849646769,2974.0948670984,7443.39271733163,6901.46172819587,4489.80035623209,1584.87644701155
"Abi2",5643.38491564208,4594.61181763573,4910.79883711499,5976.16494407284,5584.4297262845,3586.86546114222
"C1qtnf4",5641.71321683717,3960.12669114641,4257.53336177805,3301.15281252917,5405.92221228486,2509.44995435533
"Got1",5638.64661193685,4244.05634901571,4653.94307146439,3621.18027169955,6296.35879400258,3071.15650185337
"Oxr1",5636.05495360066,5016.34389132936,5409.00807033947,7078.8682544751,5952.10362459994,3291.33262015983
"Opcml",5624.74134930219,4712.04949927716,5122.62967827547,6605.78418439716,5486.42526439046,3688.41062809348
