"","SAL_WT1","SAL_WT2","SAL_WT3","SAL_KO1","SAL_KO2","SAL_KO3","RO_WT1","RO_WT2","RO_WT3","RO_KO2","RO_RAP_WT1","RO_RAP_WT2","RO_RAP_WT3","RO_RAP_KO1","RO_RAP_KO2","RO_RAP_KO3"
"Gpn2",192.740838707024,200.30307220139,178.954594535663,157.925637126718,123.500119915881,111.483019946501,172.177890976135,161.598513699239,176.632580541408,128.706695535911,223.65937221229,202.841891051922,191.206880102058,97.051918408261,84.4938981692056,97.1773841431
"Sfn",27.828891150212,29.6745292150207,24.1830533156301,18.0486442430535,43.6768716775677,32.8476755199513,28.333070666959,36.3596655823288,57.6940589708117,34.785593388084,45.3446398457794,41.891260108549,46.4161629233258,16.7974474168144,25.5567963598214,15.5306321689886
"Zdhhc18",261.797716746439,328.068406321618,252.108330815444,203.047247734352,277.12222029905,237.89680149298,283.33070666959,282.797398973668,192.609396871787,302.634662476331,335.795441020096,304.814037368784,368.558189182228,137.179153903984,227.403330875146,183.705191941751
"Pigv",180.372442640263,165.682788117199,194.069002857932,149.545909442444,140.06720917289,138.358390826461,174.357357950517,175.738383647922,182.845786892111,156.535170246378,191.79557123958,177.486654670431,181.507980386737,90.9861735077447,96.4899454401422,101.614707619954
"Arid1a",1750.12804344666,2919.64395776676,1880.83697162313,1567.0090769594,1469.95264680366,2030.58357759699,1950.62294207141,2101.79066880073,2050.35809573193,1826.24365287441,2735.38476042648,1934.71477606588,2209.96357799118,1007.84684500886,1761.33267973708,1037.88996123612
"Rps6ka1",277.25821182989,338.784208538153,264.199857473259,212.071569855879,787.689789219583,210.026046506355,324.740579182838,246.437733391339,245.865451306382,246.977713055397,287.38697415771,295.994824714353,279.882534642143,145.577877612392,117.874203618768,136.6695630871
"Hmgn2",787.454549583776,671.798369728941,694.658206491475,501.494472181987,573.823727901838,518.595119572564,871.786789752585,768.602930782005,773.100390208877,841.811359991633,598.059033641631,639.392917446275,596.482332492291,359.745332176775,263.391472687956,354.542145800625
"Dhdds",859.603526639881,844.899790149895,903.841617671676,890.18491784489,747.025115588744,700.750411092293,760.63397405913,790.82272641565,717.181533052552,740.93313916619,816.81628262735,869.243647252392,1033.62559823287,555.71555203961,506.963389015233,549.340646434511
"Aim1l",95.8550695173968,63.4705208210165,81.6178049402516,80.574304656489,73.7988521448558,92.5707219198626,67.5634762058253,103.019052483265,94.0856961677853,93.9211021478269,61.8893057354557,71.104902026353,51.2656127809866,48.0593634425523,63.1096399905795,48.3668258977073
"Ubxn11",136.05235673437,96.4422199488172,116.078655915025,116.026998705344,143.079407219618,135.372238506466,161.280556104228,147.458643750555,146.454149695138,180.885085618037,122.553080664269,111.342559762196,86.5973188868018,64.3902150977885,56.8508327187864,61.2350639805836
